,Comparison,'Agriculture and Livestock',Test,LUC,Test,Energy,Test,Waste,Test
0,1_2,4.4486549071262185e-05,U**,1.2042211933653515e-06,U**,1.2042211933653515e-06,U**,0.08272396698219048,U
1,1_3,1.2187045642232775e-25,U**,9.597575133628476e-25,U**,0.40691689764497685,U,0.49597388986879276,U
2,1_4,3.9554499608136606e-73,t**,2.1590634806295103e-21,U**,0.01472599711860026,U*,0.0006667543150694224,U**
3,1_5,1.0294108597528082e-29,U**,2.238017778652018e-30,U**,0.08382419938098168,U,0.031152663213252302,U*
4,1_6,0.1070548959981324,t,2.038015665782083e-43,t**,5.516325344568816e-16,U**,1.155373140024373e-09,U**
5,2_3,3.109692593182338e-06,U**,3.109692593182338e-06,U**,3.109692593182338e-06,U**,0.09442737824069253,U
6,2_4,5.1107338223515976e-06,U**,0.47243096518540373,U,5.1107338223515976e-06,U**,0.38572691460861613,U
7,2_5,0.1700667637623569,U,1.738611269331612e-06,U**,1.738611269331612e-06,U**,0.03591295060883048,U*
8,2_6,0.0002807278382098792,U**,0.0002807278382098792,U**,1.0164421882806045e-05,U**,0.22472705749215438,U
9,3_4,1.2739207333008779e-15,U**,1.3858760291311922e-16,U**,0.02284822761694854,U*,0.0034219945997669412,U**
10,3_5,7.954251343110861e-23,U**,7.954251343110861e-23,U**,0.06958905311777874,U,0.046127212233748716,U*
11,3_6,3.349590602362964e-11,U**,6.381269832679078e-05,U**,6.323268310457657e-14,U**,8.754989625356493e-09,U**
12,4_5,1.7795010621614533e-73,t**,2.2656472350941046e-19,U**,0.001232310251865258,U**,4.7743512168376025e-06,U**
13,4_6,9.289238182617595e-13,U**,1.1620376169321032e-08,U**,9.829129345999696e-11,U**,5.399925261350775e-05,U**
14,5_6,7.371977948998874e-20,t**,4.377407861911828e-49,t**,2.0948283291577924e-15,U**,6.051206830894866e-11,U**
